Código,Descripción
1,C.A. de Seguros Avila
2,C.N.A. de Seguros La Previsora
3,Mapfre La Seguridad C.A. de Seguros.
4,"Seguros Caracas de Liberty Mutual, C.A."
5,"Estar Seguros, S.A. (Antes Royal & Sun Alliance Seguros (Venezuela) S.A.)"
6,Seguros Venezuela C.A.
7,Seguros Provincial C.A.
8,"Adriática de Seguros, C.A"
9,"Seguros Carabobo, C.A."
10,"La Venezolana de Seguros y de Vida, C.A."
11,"Seguros Los Andes, C.A."
12,Seguros Nuevo Mundo S.A.
13,"Seguros Horizonte, C.A."
14,C.A. de Seguros La Occidental
15,C.A. Seguros Catatumbo
16,Seguros La Fe C.A.
17,C.A. de Seguros American International
18,"Seguros Virgen del Valle, C.A."
19,"Seguros Federal, C.A. (Antes Seguros Federación C.A.)."
20,La Mundial C.A. Venezolana de Seguros de Crédito
21,"Mercantil Seguros , C.A."
22,C.A. Seguros Guayana
23,La Oriental de Seguros C.A.
24,Seguros Pirámide C.A.
25,"Seguros Universitas, C.A. (Antes Universitas de Seguros C.A.)"
26,Interbank Seguros S.A.
27,La Regional C.A. de Seguros
28,Multinacional de Seguros C.A.
29,"Zuma Seguros, C.A. (Antes Seguros Bancentro S.A.)"
30,Seguros Constitución C.A. (Antes Seguros Sofitasa),
31,Seguros Comerciales Bolívar S.A.
32,C.A. de Seguros La Internacional
33,"Seguros Premier, C.A (antes Chubb de Venezuela). 1/ "
34,Seguros Comerciales Bolívar S.A.
35,C.A. de Seguros La Internacional
36,"Seguros Premier, C.A (antes Chubb de Venezuela). 1/ "
37,Seguros Corporativos C.A.
38,Seguros Banvalor C.A
39,"Proseguros, S.A. (antes Rescarven)"
40, Seguros Altamira C.A
41,Seguros Canarias de Venezuela C.A.
42,Banesco Seguros C.A.
43,Seguros Caroní C.A.
44,Universal de Seguros C.A.
45,"Aseguradora Nacional Unida Uniseguros, S.A."
46,Hispana de Seguros C.A.
47,"Primus Seguros, C.A."
48,"Oceánica de Seguros, C.A (Antes Grupo Asegurador Previsional (Grasp), C.A.)"
49,Seguros Qualitas C.A.
50,"Seguros La Vitalicia, C.A. "
51,"Iberoamericana de Seguros, C.A."
52,ZURICH SEGUROS S.A.
53,"Estar Seguros, S.A. (Antes Royal & Sun Alliance Seguros (Venezuela) S.A.)"
54,Otra Compañía de Seguro
